"HDI Rank (2015)","Country","2010","2011","2012","2013","2014","2015"
"28"," Czech Republic","12.2","9.6","10.7","11.3","11.0","11.1 qqq"
"171"," Cote d'Ivoire","20.5","34.4","34.4","28.1","27.4","27.4 qqq"
"5"," Denmark","11.3","10.2","11.0","13.3","14.4","14.3 qqq"
"172"," Djibouti","21.3","21.3","21.7","21.7","21.7","21.7 qqq"
"99"," Dominican Republic","32.6","33.8","37.6","29.3","30.3","28.1 qqq"
"89"," Ecuador","23.4","38.8","38.8","32.1","30.9","30.1 qqq"
"111"," Egypt","15.9","14.2","14.2","14.2","14.2","36.3 qqq"
"117"," El Salvador","32.7","31.1","31.1","34.0","34.0","25.7 qqq"
"30"," Estonia","17.7","14.5","17.7","17.4","18.6","18.7 qqq"
"174"," Ethiopia","20.8","20.8","20.8","9.5","9.5","9.5 qqq"
"91"," Fiji","","","","22.6","22.6","22.6 qqq"
"23"," Finland","13.4","10.6","11.3","10.8","10.8","11.6 qqq"
"21"," France","13.9","13.9","13.3","14.2","13.9","16.3 qqq"
"109"," Gabon","22.1","22.1","22.1","20.4","20.4","20.4 qqq"
"173"," Gambia","33.3","","","26.9","26.9","26.9 qqq"
"70"," Georgia","25.9","22.7","25.9","25.9","23.4","24.1 qqq"
"4"," Germany","16.7","14.5","14.5","14.8","14.1","14.8 qqq"
"139"," Ghana","25.4","27.2","27.2","27.2","31.7","31.7 qqq"
"29"," Greece","19.9","17.1","18.1","16.2","20.6","21.1 qqq"
"125"," Guatemala","42.5","38.5","42.5","42.5","33.1","34.1 qqq"
"183"," Guinea","26.8","31.1","31.1","31.1","17.1","17.1 qqq"
"178"," Guinea-Bissau","32.5","32.5","32.5","32.5","32.5","32.5 qqq"
"127"," Guyana","20.3","32.1","24.4","24.4","24.4","24.4 qqq"
"163"," Haiti","47.9","47.9","47.9","48.4","48.4","48.4 qqq"
"130"," Honduras","39.7","43.4","35.8","46.8","48.6","41.5 qqq"
"43"," Hungary","14.7","11.2","12.2","13.1","12.6","14.6 qqq"
"9"," Iceland","13.4","11.8","13.2","11.6","12.2","11.7 qqq"
"131"," India","14.7","14.7","15.8","16.1","16.1","16.1 qqq"
"113"," Indonesia","14.8","17.7","17.7","17.7","17.3","17.3 qqq"
"69"," Iran (Islamic Republic of)","","","","46.6","46.6","46.6 qqq"
"121"," Iraq","","","","16.1","16.1","16.1 qqq"
"8"," Ireland","18.8","13.8","13.8","13.3","16.3","16.3 qqq"
"19"," Israel","23.7","23.7","23.7","19.6","25.0","26.4 qqq"
"26"," Italy","19.4","16.8","18.1","19.8","19.8","20.8 qqq"
"94"," Jamaica","24.1","24.1","30.1","30.1","30.1","30.1 qqq"
"17"," Japan","","","","13.5","13.5","13.5 qqq"
"86"," Jordan","18.7","21.1","21.1","21.1","20.5","20.5 qqq"
"56"," Kazakhstan","17.6","13.8","17.3","12.7","12.7","12.7 qqq"
"146"," Kenya","28.8","36.0","36.0","36.0","36.0","33.1 qqq"
"137"," Kiribati","","","","48.4","48.4","48.4 qqq"
"18"," Korea (Republic of)","18.4","18.4","18.4","18.4","18.4","18.4 qqq"
"120"," Kyrgyzstan","12.2","12.2","24.1","24.1","17.7","17.7 qqq"
"138"," Lao People's Democratic Republic","15.5","15.5","20.6","16.8","20.3","20.3 qqq"
"44"," Latvia","20.5","21.0","20.9","19.8","20.5","20.3 qqq"
"76"," Lebanon","","30.0","30.0","30.0","30.0","30.0 qqq"
"160"," Lesotho","39.5","47.0","47.0","47.0","47.0","47.0 qqq"
"177"," Liberia","19.0","19.0","19.0","19.0","22.7","22.7 qqq"
"37"," Lithuania","20.6","17.5","20.1","18.6","17.5","19.6 qqq"
"20"," Luxembourg","15.7","13.5","11.6","13.1","13.9","15.1 qqq"
"158"," Madagascar","19.3","36.1","36.1","36.1","20.4","20.4 qqq"
"170"," Malawi","19.7","19.7","23.1","24.6","27.7","32.5 qqq"
"59"," Malaysia","28.7","","","","",""
"105"," Maldives","19.5","23.2","23.2","23.2","23.2","23.2 qqq"
"175"," Mali","25.4","","","","16.1","16.1 qqq"
"33"," Malta","","","13.6","14.1","13.3","13.6 qqq"
"157"," Mauritania","21.5","21.5","23.8","21.2","21.2","21.2 qqq"
"64"," Mauritius","","16.6","16.6","19.8","19.8","19.8 qqq"
"77"," Mexico","31.6","35.6","35.6","34.6","34.6","34.3 qqq"
"127"," Micronesia (Federated States of)","63.1","63.1","","63.1","",""
"107"," Moldova (Republic of)","19.4","18.9","17.0","18.9","14.0","14.0 qqq"
"92"," Mongolia","16.4","16.4","19.7","12.3","12.3","12.3 qqq"
"48"," Montenegro","12.6","11.3","12.6","11.3","12.6","13.6 qqq"
"123"," Morocco","20.7","23.0","23.0","23.0","23.0","23.0 qqq"
"181"," Mozambique","58.1","25.8","37.0","28.4","28.4","28.4 qqq"
"125"," Namibia","68.3","68.3","68.3","68.3","68.3","53.6 qqq"
"144"," Nepal","26.4","37.4","37.4","18.3","15.1","13.9 qqq"
"7"," Netherlands","15.3","12.5","12.3","11.8","11.6","12.4 qqq"
"124"," Nicaragua","23.8","33.6","33.6","31.0","28.3","32.1 qqq"
"187"," Niger","21.1","17.9","17.9","17.9","12.3","12.3 qqq"
"152"," Nigeria","25.1","28.8","34.5","34.5","28.4","28.4 qqq"
"1"," Norway","13.1","10.6","12.8","10.7","10.2","10.4 qqq"
"147"," Pakistan","10.6","11.0","11.0","11.0","11.6","11.6 qqq"
"60"," Palau","","","","23.0","23.0","23.0 qqq"
"114"," Palestine, State of","","","","15.0","15.0","15.0 qqq"
"60"," Panama","52.6","40.5","40.5","35.8","36.5","38.0 qqq"
"110"," Paraguay","33.4","33.4","33.4","34.6","30.1","38.3 qqq"
"87"," Peru","42.7","30.0","32.5","30.6","31.9","29.5 qqq"
"116"," Philippines","28.0","30.0","30.0","25.2","26.8","26.8 qqq"
"36"," Poland","18.4","16.3","17.1","17.9","17.5","17.4 qqq"
